Refs,Value,Footprint,Qty,DNP
C_BULK1,100uF/35V,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,1,
F1,7.5A T,Fuse:Fuseholder_Clip-5x20mm_Schurter_OG_Lateral_P15.00x5.00mm_D1.3mm_Horizontal,1,
F2,1A F,Fuse:Fuseholder_Clip-5x20mm_Schurter_OG_Lateral_P15.00x5.00mm_D1.3mm_Horizontal,1,
J_AUX1,AUX,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,
J_BENCH1,BENCH,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",1,
J_CEILING1,CEILING,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",1,
J_COIL1,COIL SAFETY,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",1,
J_DOOR1,DOOR,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,
"J_ESP_L1,J_ESP_R1",ESP32-DevKitC-32E,Connector_PinSocket_2.54mm:PinSocket_1x19_P2.54mm_Vertical,2,
J_LED1,LED STRIP,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-5-5.08_1x05_P5.08mm_Horizontal",1,
J_PANEL1,PANEL,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",1,
J_PWR1,+24V IN,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,
"OPT_AUX1,OPT_HL1",LTV-817S,Package_DIP:DIP-4_W7.62mm,2,
"TP_3V3,TP_5V1,TP_GND1",TP,TestPoint:TestPoint_Pad_D1.5mm,3,
U1,R-78E5.0-1.0,Converter_DCDC:Converter_DCDC_RECOM_R-78E-0.5_THT,1,
