Designator,Mid X,Mid Y,Layer,Rotation
C1,175.4400,-85.1800,Top,90
C2,164.9480,-91.6800,Top,90
C3,168.1480,-92.2680,Top,90
C4,142.5500,-71.2000,Top,0
C5,136.7180,-67.3100,Top,180
C6,138.4300,-82.2960,Top,0
C7,147.1420,-80.6300,Top,-90
C8,116.8400,-119.7000,Top,-90
C9,126.4900,-119.1260,Top,0
C10,91.4400,-119.7200,Top,-90
D1,137.1600,-72.7300,Top,90
D2,195.9200,-96.5200,Top,180
D3,198.1200,-124.4600,Top,90
D5,198.8900,-77.4400,Top,180
D6,119.6600,-119.0560,Top,180
D7,141.4700,-119.3800,Top,0
D8,166.4400,-118.1800,Top,0
D9,172.7200,-102.8700,Top,0
D10,189.2300,-97.7900,Top,0
D11,182.6580,-68.3260,Top,180
F1,156.4640,-59.2420,Top,-90
F2,156.4640,-71.1200,Top,-90
F3,167.1320,-71.1200,Top,-90
F4,167.1320,-59.3020,Top,-90
J_AUX_OUT,181.6100,-55.6260,Top,180
J_BENCH,138.4300,-132.5880,Top,0
J_CEILING,159.9900,-132.5880,Top,0
J_COIL,197.5960,-88.9000,Top,90
J_DOOR,121.2500,-132.5880,Top,0
J_ESP1,110.4400,-114.5800,Top,0
J_ESP2,110.4400,-89.1800,Top,0
J_LED,88.1380,-62.2300,Top,-90
J_PANEL,95.2200,-132.5880,Top,0
J_PWR,144.7800,-55.6260,Top,180
J_RELAY_FB,197.5960,-109.2800,Top,90
J_SRL250,182.8800,-132.5880,Top,0
LED1,192.9950,-56.0080,Top,0
LED2,192.9950,-60.0080,Top,0
LED3,192.9950,-64.0080,Top,0
LED4,100.3300,-71.6800,Top,90
LED5,109.2200,-71.6800,Top,90
LED6,118.1100,-71.6800,Top,90
LED7,127.0000,-71.6800,Top,90
OPT2,171.6950,-110.4700,Top,90
OPT_RELAY_FB,171.6950,-100.3100,Top,90
PF1,96.8600,-119.7200,Top,180
Q1,195.3500,-71.0900,Top,-90
Q2,102.4400,-63.1800,Top,0
Q3,111.4400,-63.1800,Top,0
Q4,120.4400,-63.1800,Top,0
Q5,129.4400,-63.1800,Top,0
Q6,180.5320,-74.1680,Top,-90
R1,176.5300,-99.2400,Top,90
R2,199.3900,-116.8400,Top,180
R4,162.5600,-102.5500,Top,90
R5,162.5600,-111.1860,Top,90
R7,184.9780,-88.6460,Top,0
R8,104.1400,-71.6800,Top,90
R9,113.0300,-71.6800,Top,90
R10,122.0300,-71.6800,Top,90
R11,131.0300,-71.6800,Top,90
R12,184.9780,-84.3280,Top,180
R13,104.1400,-75.6800,Top,90
R14,113.0300,-75.6800,Top,90
R15,122.0300,-75.6800,Top,90
R16,131.0300,-75.6800,Top,90
R17,130.4900,-119.1260,Top,0
R18,122.4900,-119.1260,Top,0
R19,135.8900,-119.0600,Top,90
R20,158.4400,-118.1800,Top,0
R21,138.4300,-119.0600,Top,90
R22,162.4400,-118.1800,Top,0
R23,105.4100,-119.7000,Top,-90
R24,107.9500,-119.7000,Top,90
R25,187.9950,-56.0080,Top,0
R26,187.9950,-60.0080,Top,0
R27,187.9950,-64.0080,Top,0
R28,100.3300,-75.6800,Top,90
R29,109.2200,-75.6800,Top,90
R30,118.1100,-75.6800,Top,90
R31,127.0000,-75.6800,Top,90
R32,172.7200,-73.9800,Top,90
R33,175.8340,-68.8340,Top,0
U1,169.1640,-85.5980,Top,180
U2,113.0300,-119.7000,Top,-90
